regime,work_seconds,n_experiments,n_jobs,median_s,stdev_s,speedup
short,2.0,8,1,16.0694,0.0067,1.000
short,2.0,8,2,16.1173,0.7788,0.997
short,2.0,8,4,12.4026,0.0957,1.296
short,2.0,8,8,12.6845,0.0850,1.267
long,10.0,8,1,80.0910,0.0228,1.000
long,10.0,8,2,46.5815,0.4241,1.719
long,10.0,8,4,28.0086,0.6015,2.860
long,10.0,8,8,16.2918,0.1057,4.916
